#,Album,Artist(s),Major contributors,Artist
142,Born in the U.S.A.,Bruce Springsteen,zmbro,Bruce Springsteen
143,The Velvet Underground,The Velvet Underground,,The Velvet Underground
144,Physical Graffiti,Led Zeppelin,Ritchie333,Led Zeppelin
145,The Marshall Mathers LP,Eminem,,Eminem
146,Parallel Lines,Blondie,,Blondie
147,Grace,Jeff Buckley,,Jeff Buckley
148,Channel Orange,Frank Ocean,isento,Frank Ocean
149,John Prine,John Prine,,John Prine
150,Nebraska,Bruce Springsteen,zmbro,Bruce Springsteen
151,Faith,George Michael,,George Michael
152,Pretenders,The Pretenders,,The Pretenders
153,Rid of Me,PJ Harvey,,PJ Harvey
154,Amazing Grace,Aretha Franklin,,Aretha Franklin
155,The Black Album,Jay-Z,,Jay-Z
156,Let It Be,The Replacements,,The Replacements
157,Morning Glory?,Oasis,Mewerlack,Oasis
158,Mama's Gun,Erykah Badu,,Erykah Badu
159,Synchronicity,The Police,,The Police
160,Ten,Pearl Jam,-5-,Pearl Jam
161,"Crosby, Stills & Nash","Crosby, Stills & Nash",,"Crosby, Stills & Nash"
162,Different Class,Pulp,,Pulp
163,Saturday Night Fever,Various artists,,Various artists
164,At Folsom Prison,Johnny Cash,Teemu08,Johnny Cash
165,Murmur,R.E.M.,,R.E.M.
166,20 Golden Greats,Buddy Holly,,Buddy Holly
167,Violator,Depeche Mode,,Depeche Mode
168,Can't Buy a Thrill,Steely Dan,,Steely Dan
169,The Stranger,Billy Joel,,Billy Joel
170,Folklore,Taylor Swift,,Taylor Swift
171,Daydream Nation,Sonic Youth,,Sonic Youth
172,Bridge over Troubled Water,Simon & Garfunkel,,Simon & Garfunkel
173,In Utero,Nirvana,WesleyDodds,Nirvana
174,The Harder They Come,Various artists,,Various artists
175,Damn,Kendrick Lamar,,Kendrick Lamar
176,Fear of a Black Planet,Public Enemy,isento,Public Enemy
177,Every Picture Tells a Story,Rod Stewart,,Rod Stewart
178,Otis Blue/Otis Redding Sings Soul,Otis Redding,Tomcat7,Otis Redding
179,Life After Death,The Notorious B.I.G.,,The Notorious B.I.G.
180,Forever Changes,Love,,Love
181,Bringing It All Back Home,Bob Dylan,,Bob Dylan
182,Sweet Baby James,James Taylor,,James Taylor
183,Brown Sugar,D'Angelo,isento,D'Angelo
184,She's So Unusual,Cyndi Lauper,,Cyndi Lauper
185,Beggars Banquet,The Rolling Stones,,The Rolling Stones
186,Blood Sugar Sex Magik,Red Hot Chili Peppers,NSR77,Red Hot Chili Peppers
187,AmeriKKKa's Most Wanted,Ice Cube,,Ice Cube
188,Electric Warrior,T. Rex,,T. Rex
189,Dig Me Out,Sleater-Kinney,Niwi3,Sleater-Kinney
190,Tommy,The Who,Ritchie333,The Who
191,At Last!,Etta James,,Etta James
192,Licensed to Ill,Beastie Boys,,Beastie Boys
193,Willy and the Poor Boys,Creedence Clearwater Revival,,Creedence Clearwater Revival
194,Bad,Michael Jackson,"Crystal Clear x3,Realist2",Michael Jackson
195,Songs of Leonard Cohen,Leonard Cohen,,Leonard Cohen
196,Body Talk,Robyn,,Robyn
197,Meet the Beatles!,The Beatles,,The Beatles
198,The B-52's,The B-52's,,The B-52's
199,Slanted and Enchanted,Pavement,,Pavement
200,Diamond Life,Sade,,Sade
201,Midnight Marauders,A Tribe Called Quest,,A Tribe Called Quest
202,Homogenic,Björk,Andrzejbanas,Björk
203,Pink Moon,Nick Drake,,Nick Drake
204,Graduation,Kanye West,Bruce Campbell,Kanye West
205,Tea for the Tillerman,Cat Stevens,,Cat Stevens
206,Low,David Bowie,zmbro,David Bowie
207,Eagles,Eagles,,Eagles
208,Tha Carter III,Lil Wayne,,Lil Wayne
209,Raising Hell,Run-DMC,,Run-DMC
210,The Birth of Soul,Ray Charles,,Ray Charles
211,Unknown Pleasures,Joy Division,,Joy Division
212,Wild Is the Wind,Nina Simone,,Nina Simone
213,The Idler Wheel...,Fiona Apple,,Fiona Apple
214,Wildflowers,Tom Petty,,Tom Petty
215,American Beauty,Grateful Dead,,Grateful Dead
216,Either/Or,Elliott Smith,,Elliott Smith
217,Definitely Maybe,Oasis,,Oasis
218,CrazySexyCool,TLC,,TLC
219,Only Built 4 Cuban Linx...,Raekwon,,Raekwon
220,Déjà Vu,"Crosby, Stills, Nash & Young",,"Crosby, Stills, Nash & Young"
221,Rage Against the Machine,Rage Against the Machine,,Rage Against the Machine
222,Ray of Light,Madonna,Legolas2186,Madonna
223,Imagine,John Lennon,,John Lennon
224,Fly,Dixie Chicks,,Dixie Chicks
225,Yankee Hotel Foxtrot,Wilco,Teemu08,Wilco
226,Layla and Other Assorted Love Songs,Derek and the Dominos,,Derek and the Dominos
227,Here's Little Richard,Little Richard,,Little Richard
228,De La Soul Is Dead,De La Soul,,De La Soul
229,The Ultimate Collection,Patsy Cline,,Patsy Cline
230,Anti,Rihanna,,Rihanna
231,Damn the Torpedoes,Tom Petty and the Heartbreakers,,Tom Petty and the Heartbreakers
232,Giant Steps,John Coltrane,,John Coltrane
233,Little Earthquakes,Tori Amos,,Tori Amos
234,Master of Reality,Black Sabbath,,Black Sabbath
235,Metallica,Metallica,,Metallica
236,Discovery,Daft Punk,"electricController,DannyMusicEditor",Daft Punk
237,Red Headed Stranger,Willie Nelson,GDuwen,Willie Nelson
238,Trans-Europe Express,Kraftwerk,"Andrzejbanas,Ricadus",Kraftwerk
239,Criminal Minded,Boogie Down Productions,,Boogie Down Productions
240,"Live at the Harlem Square Club, 1963",Sam Cooke,,Sam Cooke
241,Blue Lines,Massive Attack,,Massive Attack
242,Loaded,The Velvet Underground,,The Velvet Underground
243,Odessey and Oracle,The Zombies,,The Zombies
244,808s & Heartbreak,Kanye West,Bruce Campbell,Kanye West
245,Heaven or Las Vegas,Cocteau Twins,,Cocteau Twins
246,Mama Said Knock You Out,LL Cool J,,LL Cool J
247,Love Deluxe,Sade,,Sade
248,American Idiot,Green Day,"DannyMusicEditor,electricController",Green Day
249,Whitney Houston,Whitney Houston,,Whitney Houston
250,Singles Going Steady,Buzzcocks,,Buzzcocks
251,Honky Château,Elton John,,Elton John
252,Q: Are We Not Men? A: We Are Devo!,Devo,,Devo
253,The Piper at the Gates of Dawn,Pink Floyd,"Ummagumma23, MusicforthePeople",Pink Floyd
254,Head Hunters,Herbie Hancock,,Herbie Hancock
255,The Freewheelin' Bob Dylan,Bob Dylan,"Mick gold,I.M.S.,Moisejp",Bob Dylan
256,Tracy Chapman,Tracy Chapman,,Tracy Chapman
257,Coat of Many Colors,Dolly Parton,,Dolly Parton
258,The Hissing of Summer Lawns,Joni Mitchell,,Joni Mitchell
259,Pearl,Janis Joplin,,Janis Joplin
260,Cut,The Slits,,The Slits
261,Check Your Head,Beastie Boys,,Beastie Boys
262,"Power, Corruption & Lies",New Order,,New Order
263,A Hard Day's Night,The Beatles,,The Beatles
264,Wish You Were Here,Pink Floyd,Parrot of Doom,Pink Floyd
265,Wowee Zowee,Pavement,Niwi3,Pavement
266,Help!,The Beatles,,The Beatles
267,Double Nickels on the Dime,Minutemen,"Cjmarsicano,CloudNine",Minutemen
268,Sail Away,Randy Newman,,Randy Newman
269,Yeezus,Kanye West,STATicVapor,Kanye West
270,Golden Hour,Kacey Musgraves,,Kacey Musgraves
271,What's the 411?,Mary J. Blige,,Mary J. Blige
272,White Light/White Heat,The Velvet Underground,"DecrepitlyOnward,zmbro",The Velvet Underground
273,Entertainment!,Gang of Four,,Gang of Four
274,Sweetheart of the Rodeo,The Byrds,"Kohoutek1138,Cbben",The Byrds
275,Curtis,Curtis Mayfield,,Curtis Mayfield
276,The Bends,Radiohead,"Popcornfud,Tunakanski",Radiohead
277,The Diary of Alicia Keys,Alicia Keys,,Alicia Keys
278,Houses of the Holy,Led Zeppelin,Ritchie333,Led Zeppelin
279,MTV Unplugged in New York,Nirvana,,Nirvana
280,Get Rich or Die Tryin',50 Cent,,50 Cent
281,Nilsson Schmilsson,Harry Nilsson,,Harry Nilsson
282,In the Wee Small Hours,Frank Sinatra,,Frank Sinatra
283,Bad Girls,Donna Summer,,Donna Summer
284,Down Every Road 1962–1994,Merle Haggard,,Merle Haggard
285,Third/Sister Lovers,Big Star,,Big Star
286,Californication,Red Hot Chili Peppers,,Red Hot Chili Peppers
287,Mr. Tambourine Man,The Byrds,,The Byrds
288,The Modern Lovers,The Modern Lovers,,The Modern Lovers
289,Post,Björk,Bleff,Björk
290,Speakerboxxx/The Love Below,Outkast,,Outkast
291,The Writing's on the Wall,Destiny's Child,,Destiny's Child
292,Van Halen,Van Halen,,Van Halen
293,Last Splash,The Breeders,,The Breeders
294,Weezer,Weezer,Cowbellcity45,Weezer
295,Random Access Memories,Daft Punk,"Jhsounds,Bobamnertiopsis",Daft Punk
296,Rust Never Sleeps,Neil YoungandCrazy Horse,,Neil YoungandCrazy Horse
297,So,Peter Gabriel,JennKR,Peter Gabriel
298,Full Moon Fever,Tom Petty,,Tom Petty
299,Live at the Regal,B.B. King,,B.B. King
300,Come On Over,Shania Twain,,Shania Twain
301,New York Dolls,New York Dolls,isento,New York Dolls
302,Tonight's the Night,Neil Young,,Neil Young
303,The Definitive Collection,ABBA,,ABBA
304,Just as I Am,Bill Withers,,Bill Withers
305,Alive!,Kiss,,Kiss
306,I'm Still in Love with You,Al Green,,Al Green
307,Portrait of a Legend: 1951–1964,Sam Cooke,,Sam Cooke
308,Here Come the Warm Jets,Brian Eno,Andrzejbanas,Brian Eno
309,Closer,Joy Division,,Joy Division
310,Pink Flag,Wire,,Wire
311,On the Beach,Neil Young,,Neil Young
312,A Seat at the Table,Solange Knowles,,Solange Knowles
313,"Stories from the City, Stories from the Sea",PJ Harvey,,PJ Harvey
314,One in a Million,Aaliyah,,Aaliyah
315,El Mal Querer,Rosalía,,Rosalía
316,The Who Sell Out,The Who,,The Who
317,Lady in Satin,Billie Holiday,,Billie Holiday
318,The Velvet Rope,Janet Jackson,,Janet Jackson
319,The Stone Roses,The Stone Roses,,The Stone Roses
320,Los Angeles,X,,X
321,Norman Fucking Rockwell!,Lana Del Rey,,Lana Del Rey
322,From Elvis in Memphis,Elvis Presley,GDuwen,Elvis Presley
323,Sandinista!,The Clash,,The Clash
324,A Rush of Blood to the Head,Coldplay,Efe,Coldplay
325,"All Killer, No Filler: The Anthology",Jerry Lee Lewis,,Jerry Lee Lewis
326,Dirty Mind,Prince,,Prince
327,Live at Leeds,The Who,,The Who
328,Modern Vampires of the City,Vampire Weekend,isento,Vampire Weekend
329,Endtroducing.....,DJ Shadow,Holiday56,DJ Shadow
330,Aftermath,The Rolling Stones,"isento,JG66",The Rolling Stones
331,Like a Prayer,Madonna,Theknine2,Madonna
332,Elvis Presley,Elvis Presley,,Elvis Presley
333,Still Bill,Bill Withers,,Bill Withers
334,Abraxas,Santana,,Santana
335,The Basement Tapes,Bob Dylanandthe Band,"Mick gold,I.M.S.,Moisejp",Bob Dylanandthe Band
336,Avalon,Roxy Music,,Roxy Music
337,John Wesley Harding,Bob Dylan,,Bob Dylan
338,Another Green World,Brian Eno,Andrzejbanas,Brian Eno
339,Janet Jackson's Rhythm Nation 1814,Janet Jackson,Bookkeeperoftheoccult,Janet Jackson
